                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                0.89567,                0.80844,                0.96283,                0.68721,                0.89286,                0.90277,                0.66164,                  1.151,                 1.0535,                 1.0639,             0.00062262,             0.00062262,             0.00062262
                    117,                 0.8327,                0.72371,                 0.9331,                0.71287,                0.90352,                0.90767,                0.63459,                 1.2004,                0.96007,                 1.0975,             0.00061554,             0.00061554,             0.00061554
                    118,                0.84547,                0.76799,                0.95411,                0.71927,                0.87846,                0.90775,                0.63933,                 1.1414,                0.93299,                 1.0842,             0.00060847,             0.00060847,             0.00060847
                    119,                0.90645,                0.70787,                0.95715,                0.74034,                0.82143,                0.91587,                0.66537,                 1.1086,                0.94513,                  1.106,             0.00060139,             0.00060139,             0.00060139
                    120,                0.85237,                0.71563,                0.95697,                0.64698,                0.86905,                0.91767,                0.65226,                 1.1795,                 1.0104,                 1.1202,             0.00059432,             0.00059432,             0.00059432
                    121,                0.90978,                0.78547,                 0.9286,                 0.6353,                 0.9358,                   0.76,                0.53868,                 1.1859,                 1.0209,                 1.1348,             0.00058725,             0.00058725,             0.00058725
                    122,                0.86923,                0.75524,                0.97138,                0.85595,                 0.8737,                0.92791,                 0.6616,                 1.1809,                0.94048,                 1.1745,             0.00058017,             0.00058017,             0.00058017
                    123,                0.87731,                0.76233,                 0.9772,                0.84665,                0.88504,                0.93167,                0.68346,                  1.136,                0.88495,                 1.1554,              0.0005731,              0.0005731,              0.0005731
                    124,                0.87737,                0.71156,                0.95022,                0.70057,                0.93571,                0.93285,                0.69101,                 1.0827,                0.93622,                 1.1209,             0.00056603,             0.00056603,             0.00056603
                    125,                0.87569,                0.75679,                0.97045,                0.76803,                0.86905,                0.89682,                0.64157,                    1.1,                  1.008,                 1.1087,             0.00055895,             0.00055895,             0.00055895
